,USDC price,USDT price,Average USD price
109,349.5252833739374,349.2989495227514,349.41211644834436
110,348.46520306429954,350.0670451533571,349.2661241088283
111,349.201364218232,351.3590162719053,350.28019024506864
112,348.95555836210264,349.2318843268049,349.0937213444538
113,352.9328125,350.0084682257913,351.47064036289567
114,351.35689542399746,349.59472561919927,350.47581052159836
115,348.68382014103304,351.5458090463358,350.1148145936844
116,351.4678336432417,349.8593613714128,350.66359750732727
117,336.6069267424757,349.9256112723237,343.2662690073997
118,359.4240631343399,349.6900159243976,354.55703952936875
119,350.0253654213298,352.470895292391,351.24813035686043
120,352.35573627389533,352.6251851516918,352.4904607127936
121,354.30972175181444,350.98085916661967,352.64529045921705
122,352.8362712867887,350.9696849545677,351.9029781206782
123,352.4929089184947,353.39841142996534,352.94566017423006
